mint_time,token,mint_amount_tokens,mint_to,datum_hash,atom_hash,validator_count,match_status,candidate_count,mint_amount_mcell_equivalent
2026-02-17T06:42:07,CELL,3000000.0,Rj7J7MiX2bWy8sNyXDGpG4Y6GoyV5bUKPrdoPWEGyRbtR2jsXm1g61Ye9TuKrkMPy5aEu7mzrsdeeir2ASgtHZaUCL1qRpYdLG28pAJX,0x7CCE4607D0DF114BD051B7AD095EE13F8D5ABCDBACF661BD22B8D687AE997550,0xCC134963DCED62A2E1DDE369139C3CDBBBDB33449D600919F0216A44F206D264,4.0,unmatched,0,3000.0
2026-04-13T06:39:13,CELL,2800000.0,Rj7J7MiX2bWy8sNyXN6YqRfWnuX8VkcRfBF2uzuAgC5fZ5UiL5thQxX6rNyRMaCBvBWLVN8xjkmgs7VVSvqnNE3BKVXV6xTvYMLE7o7T,0xB702D5689CBCB6736CF28E83D71EF7EB9B3C1A8BF51F5BC617B69D73478A3EB3,0x7BC346F81BBDAD976A2F4C613011E92260256893155D7C48FA3111C2821D3823,4.0,unmatched,0,2800.0
2025-09-30T12:20:21,CELL,2000000.0,Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,0x9B43A1223F5DF3B2E17C1FD6BCC95A990DB01F73C1B5AEB9AC1136566BD5F7AC,0x03A1BD50A5AB7E966A6DC875D5FDA1ABC9B69DBF8064BDB9C81A506816E6C18B,4.0,unmatched,0,2000.0
2026-01-16T08:30:15,CELL,1000000.0,Rj7J7MiX2bWy8sNyXN6YqRfWnuX8VkcRfBF2uzuAgC5fZ5UiL5thQxX6rNyRMaCBvBWLVN8xjkmgs7VVSvqnNE3BKVXV6xTvYMLE7o7T,0xB06508B9ECF34BC4A445E52D2FBB06970123A9DF2051BB19D45176BF1A95F90F,0xC0A2734949A2235A0C8A71A55F61D9BD9E20249F4D6CC152AA88F9D8A3DBAA8D,5.0,unmatched,0,1000.0
2025-04-16T03:34:48,CELL,269990.0,Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,0xCA36DD50F335B71381950895B812DE266FA0A6BAB84207CC3F532010C80FD437,0x0306DE19BF2CF51BC6CDDA9A190FA905670627735B79B51AC2B2766B625873F2,8.0,unmatched,0,269.99
2025-08-12T11:31:51,CELL,199990.0,Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,0xDEE031AF0BD401E32BD6E51CEF3CCBEB7DF0EFCE85440C9E9931FDCC6B783B12,0xF1C74B92FF9F09863CC9CC762BC4FD8D2F023131690E5556A1E38CF02C2D2FBA,7.0,unmatched,0,199.99
2025-06-16T09:51:55,CELL,199990.0,Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,0xBE0543B8441B365F4BB8E65B4A4FE4681D8427EF42F01A777C4236B57C79F1F0,0xCDFE953B5030C4A95A61A2870892942AC3840D45F4564BBC1C0CC49447E334B8,8.0,unmatched,0,199.99
2025-06-04T07:04:33,CELL,199990.0,Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,0x101CDDD08F431D8E17AB5E24BD07B60E5F55826F2FE9C6A83BB5545110867986,0x818079BCF1B36FE1464DA1424EA55AC794678E04349E2402027C13B987C2A174,7.0,unmatched,0,199.99
2025-05-30T14:44:05,CELL,199990.0,Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,0x33D4DB8ED611007169D9F497DE0CC78F998BD318CDB16177A9E419C32A539CE8,0xD8BE6F9F1EDAFD51C572E7A8F0B5535690124346107CAE5900AD0B173B0AA757,6.0,unmatched,0,199.99
2025-03-06T05:45:45,CELL,199990.0,Rj7J7MiX2bWy8sNyZzSczn6k1pBjU5khFFvux7pFcP2zmotydGb6ZEmy4csMMnyfZiV5BpCPzZoRXhAQryf6WQJVmEka11yWhkShT5QU,0xC2B8C6DCE23F0E957AD118D6F0D9AFAE9C8089D25C88FC4A20A8FDC4F6291BE9,0x0DD59FE62FDA55541DFA085C61D28C717EAD01A507EE6F534CBFE004D0E8EAFF,7.0,unmatched,0,199.99
2025-08-11T14:40:47,CELL,189990.0,Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,0xDB237104F7AE8CD958EAF4170B24BB9DFD5CC1520A0259D5882FBCB393D59DC9,0x6FF8B6B144C59941C82E8F8E5271596D1F1F8218F371A849AD779924B3EE72A5,8.0,unmatched,0,189.99
2025-01-01T10:38:45,CELL,156490.2875,Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,0xC74645C5AB19F7E35EE2ACEA682197ADEAE4433D7F84C2AE8EB69646B14DAB77,0xB3C1C3F18D1176345BEF57B52421F62E3141101008C2F0A18AD7AFB8618A6A00,7.0,unmatched,0,156.4902875
2024-12-28T13:00:59,CELL,150620.0,Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,0x7F764B8069702D726E1E93A9396B3C9668C9D344FDE7F1E75FA646D572E48FA3,0xBFA5D8D2D0BC48EC98F0E57ECB37CFD3A4A2FF2C5550A37C6D5A0386A2010722,7.0,unmatched,0,150.62
2025-01-08T07:59:56,CELL,149622.5,Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,0xE8332073AD69F26120FED88763CBB3851970CFD96CA518137A75DBFD110E0FA0,0xBF52F64E082BF236624F298A11187254CAFD0C6B8F5CA8989FFC2FCA4F8256EF,7.0,unmatched,0,149.6225
2025-01-09T17:08:28,CELL,139647.5,Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,0x7EAEEED86F50239E81CBB40F367E023EF534848D126A0DF1C25631CAFA914E14,0xB69DA90AF33A537474B70E71DE12F5C8CD9FAA85B1F61D45C936F4D53AC94DD4,8.0,unmatched,0,139.6475
2024-12-25T17:11:57,CELL,133334.08864337925,Rj7J7MiX2bWy8sNyZWoTEUYocc3U1QGaT4DhzjHHHbfAcvgYKxEaB7SXkc9h7KFs9KdsHsRrKuDKFqgdvDCMvZrgbYtiAn5m46LG1KDG,0x5FE5F59BC480D90E2830257BC3437AE06E6406D6B4C1CEEAB206A0656AD5C878,0x5E1B5D88E2B516E0CDE778120B8A147A60D5DAD8B00F5A760B4775937DB9BE10,8.0,unmatched,0,133.33408864337926
2025-01-07T16:13:03,CELL,124685.0,Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,0x4E1DC5CDAA669724D164DC70716F9C778220E37CA9EEC339117EB58AE84065E3,0x0D33BC5D6FD5F0CF2307A7AA3D7AE670F0AB26B00521B3A37162FE9F43F102EF,8.0,unmatched,0,124.685
2025-01-07T16:02:54,CELL,124685.0,Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,0x050EBC735A669298AB64C579CC9872491A85B761C0A98338D7EBBE5FA441C158,0xE9024855B8D6775E31702F64A07EDF778BF22870BEF5523CCBE92485DD567048,8.0,unmatched,0,124.685
2024-12-28T11:47:37,CELL,100745.0,Rj7J7MiX2bWy8sNyXKzkzfA45trMW5g1vMF2PfmJA6vM5dSJ97T9yip3dbniDx8SqJ7gNW2e1CPQmXGxdHx1a2rnTVeRyd21oNjKDMit,0xF7363991F18DA07F0104C3749EE08DF143176854824150C6A382DEA553FD607A,0xE4F48FC69CF802F93C3C84D23EACF18AB5BB64F364A79B15521DA8E46BFBF0CC,8.0,unmatched,0,100.745
2025-07-01T15:10:30,CELL,100177.18284259966,Rj7J7MiX2bWy8sNyaAmVTVWM9ExXb3eKvdhpt3QA24CKg8CTnzVu64HuanrTRVe59Uze8xGPcRWKPSMdhJLhRmd58rzr3aRBgpmjWoo6,0x0F778C3219B9092FA27764D7AE1C5FA8F32D2F49B41D5EAADA4242DB8A109504,0x7CC47438CE205BA65FD61688D0CE724D5379352020A31FFB042CC68CB4B40592,7.0,unmatched,0,100.17718284259966
